0|0|METHYLPHENIDATE HYDROCHLORIDE |SUCROSE |STARCH, CORN |HYPROMELLOSE, UNSPECIFIED |POLYETHYLENE GLYCOL, UNSPECIFIED |AMMONIO METHACRYLATE COPOLYMER TYPE B |METHACRYLIC ACID - ETHYL ACRYLATE COPOLYMER (1:1) TYPE A |TRIETHYL CITRATE |TALC |WATER |SILICON DIOXIDE |FD&C BLUE NO. 1 |TITANIUM DIOXIDE |GELATIN, UNSPECIFIED |D&C RED NO. 28 |D&C YELLOW NO. 10 |FD&C RED NO. 40 |D&C RED NO. 33 |FD&C RED NO. 3 |FD&C GREEN NO. 3 |FERROSOFERRIC OXIDE |||||||||
240|240|METHYLPHENIDATE HYDROCHLORIDE |SUCROSE |STARCH, CORN |HYPROMELLOSE, UNSPECIFIED |CELLULOSE ACETATE |HYPROMELLOSE ACETATE SUCCINATE 12070923 (3 MM2/S) |ACETYLTRIBUTYL CITRATE |ACETONE |TALC |WATER |TITANIUM DIOXIDE |GELATIN, UNSPECIFIED |FERROSOFERRIC OXIDE |SHELLAC |POTASSIUM HYDROXIDE |FD&C BLUE NO. 1 |D&C RED NO. 28 |||||||||||||
241|241|METHYLPHENIDATE HYDROCHLORIDE |LACTOSE MONOHYDRATE |CELLULOSE, MICROCRYSTALLINE |SODIUM STARCH GLYCOLATE TYPE A POTATO |TALC |D&C YELLOW NO. 10 |MAGNESIUM STEARATE |||||||||||||||||||||||
242|242|METHYLPHENIDATE HYDROCHLORIDE |POLYETHYLENE GLYCOL 1450 |GLYCERIN |PHOSPHORIC ACID |GRAPE |WATER ||||||||||||||||||||||||
243|243|METHYLPHENIDATE HYDROCHLORIDE |SODIUM POLYSTYRENE SULFONATE |POVIDONE, UNSPECIFIED |TRIACETIN |SUCROSE |ANHYDROUS TRISODIUM CITRATE |ANHYDROUS CITRIC ACID |SODIUM BENZOATE |SUCRALOSE |POLOXAMER 188 |STARCH, CORN |XANTHAN GUM |TALC |SILICON DIOXIDE |POLYVINYL ACETATE PHTHALATE |||||||||||||||
244|244|METHYLPHENIDATE HYDROCHLORIDE |BUTYLATED HYDROXYTOLUENE |CELLULOSE ACETATE |SILICON DIOXIDE |FD&C BLUE NO. 1 |HYDROXYPROPYL CELLULOSE, UNSPECIFIED |HYPROMELLOSE, UNSPECIFIED |POLYETHYLENE GLYCOL, UNSPECIFIED |POLYVINYL ALCOHOL, UNSPECIFIED |SODIUM CHLORIDE |SODIUM STEARYL FUMARATE |TALC |TITANIUM DIOXIDE |FERRIC OXIDE YELLOW |LECITHIN, SOYBEAN |PROPYLENE GLYCOL |FERROSOFERRIC OXIDE |FD&C BLUE NO. 2 |FD&C RED NO. 40 |FD&C YELLOW NO. 6 |FERRIC OXIDE RED |||||||||
245|245|METHYLPHENIDATE HYDROCHLORIDE |MANNITOL |SODIUM CHLORIDE |SILICON DIOXIDE |ETHYLCELLULOSES |FUMARIC ACID |HYPROMELLOSES |POLYETHYLENE GLYCOLS |CELLULOSE, MICROCRYSTALLINE |POLYVINYL ALCOHOL, UNSPECIFIED |POVIDONE |STEARIC ACID |TALC |TITANIUM DIOXIDE |TRIETHYL CITRATE |FERROSOFERRIC OXIDE |FERRIC OXIDE YELLOW |FERRIC OXIDE RED ||||||||||||
246|246|METHYLPHENIDATE HYDROCHLORIDE |CETYL ALCOHOL |STARCH, CORN |D&C YELLOW NO. 10 |DIBUTYL SEBACATE |ETHYLCELLULOSE, UNSPECIFIED |FD&C BLUE NO. 1 |FD&C BLUE NO. 2 |INDIGOTINDISULFONATE SODIUM |FD&C RED NO. 40 |GELATIN, UNSPECIFIED |HYPROMELLOSE 2910 (5 MPA.S) |FERROSOFERRIC OXIDE |PROPYLENE GLYCOL |SHELLAC |SODIUM LAURYL SULFATE |SUCROSE |TITANIUM DIOXIDE |FD&C GREEN NO. 3 |FERRIC OXIDE RED |FERRIC OXIDE YELLOW |||||||||
247|247|methylphenidate hydrochloride |cetyl alcohol |ethylcellulose, unspecified |anhydrous lactose |magnesium stearate |||||||||||||||||||||||||
248|248|methylphenidate hydrochloride |lactose, unspecified form |magnesium stearate |MICROCRYSTALLINE CELLULOSE |D&C Yellow NO. 10 |FD&C Green NO. 3 |FD&C Yellow NO. 6 |||||||||||||||||||||||
249|249|METHYLPHENIDATE HYDROCHLORIDE |D&C YELLOW NO. 10 |LACTOSE, UNSPECIFIED FORM |MAGNESIUM STEARATE |POLYETHYLENE GLYCOL, UNSPECIFIED |SUCROSE |TALC |TRAGACANTH ||||||||||||||||||||||
250|250|METHYLPHENIDATE HYDROCHLORIDE |SILICON DIOXIDE |SUCROSE |D&C YELLOW NO. 10 |LACTOSE MONOHYDRATE |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |FD&C BLUE NO. 1 ||||||||||||||||||||||
251|251|METHYLPHENIDATE HYDROCHLORIDE |CARBOXYMETHYLCELLULOSE SODIUM (0.7 CARBOXYMETHYL SUBSTITUTION PER SACCHARIDE; 400 MPA.S AT 1%) |SILICON DIOXIDE |STARCH, CORN |ETHYLCELLULOSE (10 MPA.S) |HYDROXYPROPYL CELLULOSE (1600000 WAMW) |HYPROMELLOSES |HYPROMELLOSE ACETATE SUCCINATE 06081224 (3 MM2/S) |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |POLYETHYLENE GLYCOL 3350 |SUCROSE |TALC |TITANIUM DIOXIDE |TRIETHYL CITRATE |FERRIC OXIDE RED |FERROSOFERRIC OXIDE |FERRIC OXIDE YELLOW ||||||||||||
252|252|METHYLPHENIDATE HYDROCHLORIDE |AMMONIO METHACRYLATE COPOLYMER TYPE B |FERROSOFERRIC OXIDE |D&C YELLOW NO. 10 |FD&C BLUE NO. 1 |FD&C BLUE NO. 2 |FD&C RED NO. 40 |GELATIN, UNSPECIFIED |HYPROMELLOSE 2208 (3 MPA.S) |METHACRYLIC ACID - METHYL METHACRYLATE COPOLYMER (1:1) |POLYETHYLENE GLYCOL 6000 |PROPYLENE GLYCOL |SHELLAC |STARCH, CORN |SUCROSE |TALC |TITANIUM DIOXIDE |TRIETHYL CITRATE |D&C RED NO. 33 |FD&C YELLOW NO. 6 ||||||||||
253|253|methylphenidate hydrochloride |povidone, unspecified |hypromellose, unspecified |polyethylene glycol, unspecified |dibutyl sebacate |FD&C blue no. 2 |ferric oxide red |FD&C Blue No. 2 |ferric oxide yellow |||||||||||||||||||||
254|254|methylphenidate hydrochloride |POVIDONE, UNSPECIFIED |HYPROMELLOSE, UNSPECIFIED |POLYETHYLENE GLYCOL, UNSPECIFIED |ETHYLCELLULOSE, UNSPECIFIED |dibutyl sebacate |GELATIN, UNSPECIFIED |titanium dioxide |FD&C Blue No. 2 |Ferric Oxide Yellow |FERRIC OXIDE RED |Ferric Oxide Red ||||||||||||||||||
255|255|METHYLPHENIDATE HYDROCHLORIDE |SILICON DIOXIDE |SUCROSE |LACTOSE MONOHYDRATE |MAGNESIUM STEARATE |FD&C BLUE NO. 2 |FD&C RED NO. 40 |D&C YELLOW NO. 10 |FD&C YELLOW NO. 6 |||||||||||||||||||||
256|256|METHYLPHENIDATE HYDROCHLORIDE |ASPARTAME |MALTOSE |CELLULOSE, MICROCRYSTALLINE |PHOSPHORIC ACID |STARCH, CORN |STEARIC ACID |||||||||||||||||||||||
257|257|METHYLPHENIDATE HYDROCHLORIDE |LACTOSE MONOHYDRATE |CELLULOSE, MICROCRYSTALLINE |SODIUM STARCH GLYCOLATE TYPE A POTATO |TALC |D&C YELLOW NO. 10 |MAGNESIUM STEARATE |||||||||||||||||||||||
258|258|METHYLPHENIDATE HYDROCHLORIDE |POLYETHYLENE GLYCOL 1450 |GLYCERIN |PHOSPHORIC ACID |GRAPE |WATER ||||||||||||||||||||||||
259|259|methylphenidate hydrochloride |lactose |magnesium stearate |cellulose, microcrystalline |D&C Yellow NO. 10 |FD&C Green NO. 3 |FD&C Yellow NO. 6 |||||||||||||||||||||||
260|260|methylphenidate hydrochloride |cetyl alcohol |ethylcelluloses |anhydrous lactose |magnesium stearate |||||||||||||||||||||||||
261|261|METHYLPHENIDATE HYDROCHLORIDE |D&C YELLOW NO. 10 |LACTOSE MONOHYDRATE |MAGNESIUM STEARATE |POLYETHYLENE GLYCOL |SUCROSE |TALC |TRAGACANTH ||||||||||||||||||||||
262|262|METHYLPHENIDATE HYDROCHLORIDE |BUTYLATED HYDROXYTOLUENE |CARNAUBA WAX |HYPROMELLOSES |PHOSPHORIC ACID |LACTOSE |POLYETHYLENE GLYCOLS |POVIDONE |SODIUM CHLORIDE |PROPYLENE GLYCOL |STEARIC ACID |SUCCINIC ACID |FERROSOFERRIC OXIDE |TITANIUM DIOXIDE |TRIACETIN |CELLULOSE ACETATE ||||||||||||||
263|263|METHYLPHENIDATE HYDROCHLORIDE |POVIDONE |HYPROMELLOSES |POLYETHYLENE GLYCOL |ETHYLCELLULOSES |DIBUTYL SEBACATE |GELATIN |TITANIUM DIOXIDE |FD&C BLUE NO. 2 |FERRIC OXIDE YELLOW |FERRIC OXIDE RED |||||||||||||||||||
264|264|METHYLPHENIDATE HYDROCHLORIDE |BUTYLATED HYDROXYTOLUENE |CARNAUBA WAX |HYPROMELLOSES |LACTOSE |PHOSPHORIC ACID |POLYETHYLENE GLYCOL |POVIDONE |PROPYLENE GLYCOL |SODIUM CHLORIDE |STEARIC ACID |SUCCINIC ACID |FERROSOFERRIC OXIDE |TITANIUM DIOXIDE |TRIACETIN |CELLULOSE ACETATE ||||||||||||||
265|265|METHYLPHENIDATE HYDROCHLORIDE |CETYL ALCOHOL |ETHYLCELLULOSE |ANHYDROUS LACTOSE |MAGNESIUM STEARATE |||||||||||||||||||||||||
266|266|METHYLPHENIDATE HYDROCHLORIDE |LACTOSE MONOHYDRATE |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |TALC |||||||||||||||||||||||||
267|267|METHYLPHENIDATE HYDROCHLORIDE |SILICON DIOXIDE |LACTOSE MONOHYDRATE |MAGNESIUM STEARATE |FD&C BLUE NO. 2 |FD&C RED NO. 40 |FD&C YELLOW NO. 6 |D&C YELLOW NO. 10 ||||||||||||||||||||||
268|268|METHYLPHENIDATE HYDROCHLORIDE |||||||||||||||||||||||||||||
269|269|methylphenidate hydrochloride |magnesium stearate |cetyl alcohol |||||||||||||||||||||||||||
270|270|METHYLPHENIDATE HYDROCHLORIDE |HYPROMELLOSES |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |TALC |||||||||||||||||||||||||
271|271|ORPHENADRINE CITRATE |ASPIRIN |CAFFEINE |ANHYDROUS LACTOSE |CROSCARMELLOSE SODIUM |FD&C BLUE NO. 1 |D&C YELLOW NO. 10 |CELLULOSE, MICROCRYSTALLINE |POVIDONE |SILICON DIOXIDE |SODIUM LAURYL SULFATE |STARCH, CORN |STEARIC ACID |||||||||||||||||
